集計年,集計月,都道府県コード,都道府県名,表示内容コード,表示内容名,表示分類コード,表示分類名,施設数（施設）,延べ宿泊者数（総数：人泊）,延べ宿泊者数（日本人：人泊）,延べ宿泊者数（外国人：人泊）,定員稼働率（％）,客室稼働率（％）,延べ宿泊者数（総数）前年同月比,延べ宿泊者数（日本人）前年同月比,延べ宿泊者数（外国人）前年同月比
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,70,64580,64220,360,34.7,47.5,-0.4515,-0.4439,-0.8407
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,6750,6700,50,21.7,28.9,-0.5377,-0.5305,-0.8485
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,0,0,0,0,0,-,-,-
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,290,4530,4530,0,4.3,10.3,-0.3673,-0.3529,-1
2021,3,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,814,208810,208220,590,19.7,38.7,0.0211,0.0257,-0.6014
2021,3,18,福井県,1,従業者規模別で表示する,101,0～9人,697,39700,-,-,8.5,16.9,0.2668,-,-
2021,3,18,福井県,1,従業者規模別で表示する,102,10～29人,65,52520,-,-,27.9,47.2,-0.0744,-,-
2021,3,18,福井県,1,従業者規模別で表示する,103,30～99人,47,93700,-,-,31.1,56.8,0.0255,-,-
2021,3,18,福井県,1,従業者規模別で表示する,104,100人以上,5,22890,-,-,22.4,41.6,-0.0859,-,-
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,814,208810,208220,590,19.7,38.7,0.0211,0.0257,-0.6014
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,410,78830,78790,40,12.7,22.2,0.1769,0.1781,-0.6
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,15390,15390,0,28,50.2,0.3827,0.3865,-1
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,70,95600,95150,450,46.9,62.8,-0.1529,-0.1484,-0.5982
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,10290,10240,50,30.2,38.7,0.164,0.1663,-0.1667
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,0,0,0,0,0,-,-,-
2021,3,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,8690,8630,60,8.4,16.7,0.8568,0.9135,-0.6471
2021,4,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,811,145970,145380,590,13.5,31.3,0.587,0.6041,-0.563
2021,4,18,福井県,1,従業者規模別で表示する,101,0～9人,694,26040,-,-,5.3,14,-0.0114,-,-
2021,4,18,福井県,1,従業者規模別で表示する,102,10～29人,65,43610,-,-,23.5,44.9,0.3705,-,-
2021,4,18,福井県,1,従業者規模別で表示する,103,30～99人,47,66450,-,-,21,44.3,1.1216,-,-
2021,4,18,福井県,1,従業者規模別で表示する,104,100人以上,5,9880,-,-,10.8,18.2,2.952,-,-
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,811,145970,145380,590,13.5,31.3,0.587,0.6041,-0.563
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,40780,40750,30,5.9,12.4,1.0575,1.057,2
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,7400,7400,0,14,31.3,1.7306,1.7407,-1
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,84170,83630,540,43.3,59.1,0.2975,0.3156,-0.5846
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,8460,8440,20,25.6,36.4,1.7829,1.8133,-0.5
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,4,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,5160,5160,0,4.7,13.2,2.3725,2.3725,-
2021,5,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,811,141120,140460,660,12.5,27.9,0.405,0.405,0.4043
2021,5,18,福井県,1,従業者規模別で表示する,101,0～9人,694,24970,-,-,5,13.2,-0.034,-,-
2021,5,18,福井県,1,従業者規模別で表示する,102,10～29人,65,42870,-,-,22,39.5,0.1998,-,-
2021,5,18,福井県,1,従業者規模別で表示する,103,30～99人,47,62350,-,-,18.4,37,0.6045,-,-
2021,5,18,福井県,1,従業者規模別で表示する,104,100人以上,5,10930,-,-,11.6,18.6,-,-,-
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,811,141120,140460,660,12.5,27.9,0.405,0.405,0.4043
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,450,45790,45770,20,6.4,14,1.4176,1.4179,1
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,8200,8080,120,14.5,31.4,0.7672,0.7489,5
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,74670,74180,490,36.5,48.2,0.0658,0.0653,0.1395
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,7210,7170,40,20.5,28.1,0.2921,0.2873,3
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,5,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,5250,5250,0,4.7,12.9,3.3033,3.3033,-
2021,6,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,812,144470,143750,720,13.2,31.3,0.0677,0.0659,0.6
2021,6,18,福井県,1,従業者規模別で表示する,101,0～9人,695,24700,-,-,5,10.2,-0.059,-,-
2021,6,18,福井県,1,従業者規模別で表示する,102,10～29人,65,47570,-,-,24.9,46.1,0.2495,-,-
2021,6,18,福井県,1,従業者規模別で表示する,103,30～99人,47,64600,-,-,20.4,46.6,-0.0246,-,-
2021,6,18,福井県,1,従業者規模別で表示する,104,100人以上,5,7600,-,-,8.3,13.9,0.5966,-,-
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,812,144470,143750,720,13.2,31.3,0.0677,0.0659,0.6
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,460,43920,43920,0,6.3,13.4,0.4122,0.4122,-
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,6660,6510,150,12.3,31.2,-0.0698,-0.0895,14
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,82780,82290,490,42.3,58.6,-0.0695,-0.0705,0.1395
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,7250,7200,50,21.4,31.4,0.4796,0.4694,-
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,6,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,260,3870,3830,40,3.6,10.9,0.2132,0.2006,-
2021,7,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,812,241450,240570,880,21.3,41.1,0.0821,0.0814,0.3333
2021,7,18,福井県,1,従業者規模別で表示する,101,0～9人,695,49640,-,-,9.6,19.9,0.0834,-,-
2021,7,18,福井県,1,従業者規模別で表示する,102,10～29人,65,59940,-,-,31.8,51.5,0.1191,-,-
2021,7,18,福井県,1,従業者規模別で表示する,103,30～99人,47,106630,-,-,32.1,59.1,0.1698,-,-
2021,7,18,福井県,1,従業者規模別で表示する,104,100人以上,5,25240,-,-,26.7,37.4,-0.2255,-,-
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,812,241450,240570,880,21.3,41.1,0.0821,0.0814,0.3333
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,450,102150,102110,40,14.1,25.8,0.0151,0.0152,-0.2
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,15540,15390,150,29.3,46.5,0.1228,0.112,-
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,103360,102860,500,50.6,65.1,0.1886,0.19,-0.0385
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,11750,11570,180,35.5,43.7,0.3099,0.2927,8
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,7,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,8640,8640,0,7.5,16.2,-0.3213,-0.317,-1
2021,8,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,811,281160,280110,1050,25.1,41.9,0.0536,0.0532,0.1798
2021,8,18,福井県,1,従業者規模別で表示する,101,0～9人,694,58100,-,-,11.6,21,-0.098,-,-
2021,8,18,福井県,1,従業者規模別で表示する,102,10～29人,65,69770,-,-,36.5,55.9,0.1517,-,-
2021,8,18,福井県,1,従業者規模別で表示する,103,30～99人,47,122940,-,-,36.3,54.1,0.1534,-,-
2021,8,18,福井県,1,従業者規模別で表示する,104,100人以上,5,30350,-,-,32.3,47.7,-0.1397,-,-
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,811,281160,280110,1050,25.1,41.9,0.0536,0.0532,0.1798
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,460,130090,130070,20,18,27.7,0.0483,0.0487,-0.7143
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,17970,17970,0,35.4,47.5,-0.1824,-0.1824,-
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,111840,110850,990,56,64.7,0.2355,0.2328,0.65
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,10830,10790,40,31.4,37.9,-0.0119,-0.0137,1
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,8,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,260,10430,10430,0,9.1,18,-0.4593,-0.4536,-1
2021,9,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,809,168260,167410,850,15.4,33.5,-0.2031,-0.2052,0.6667
2021,9,18,福井県,1,従業者規模別で表示する,101,0～9人,692,30720,-,-,6.3,15.1,-0.329,-,-
2021,9,18,福井県,1,従業者規模別で表示する,102,10～29人,65,50000,-,-,26.3,48.1,-0.061,-,-
2021,9,18,福井県,1,従業者規模別で表示する,103,30～99人,47,74780,-,-,23.2,45.6,-0.1109,-,-
2021,9,18,福井県,1,従業者規模別で表示する,104,100人以上,5,12760,-,-,13.9,22.2,-0.5443,-,-
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,809,168260,167410,850,15.4,33.5,-0.2031,-0.2052,0.6667
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,450,51380,51360,20,7.4,14.6,-0.4342,-0.4339,-0.75
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,6700,6550,150,13.2,29.7,-0.5117,-0.5226,-
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,70,96160,95520,640,46.1,60.2,0.1844,0.1801,1.56
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,7400,7370,30,21.4,30.7,-0.3375,-0.3396,2
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,9,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,260,6630,6630,0,6.2,14.8,-0.5351,-0.5291,-1
2021,10,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,808,233250,232230,1020,20.3,41.9,-0.0962,-0.0976,0.3973
2021,10,18,福井県,1,従業者規模別で表示する,101,0～9人,691,37530,-,-,7.1,15.9,-0.1333,-,-
2021,10,18,福井県,1,従業者規模別で表示する,102,10～29人,65,58720,-,-,31.1,52,-0.0544,-,-
2021,10,18,福井県,1,従業者規模別で表示する,103,30～99人,47,109840,-,-,32.6,63.6,-0.0429,-,-
2021,10,18,福井県,1,従業者規模別で表示する,104,100人以上,5,27160,-,-,28.7,41.1,-0.2838,-,-
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,808,233250,232230,1020,20.3,41.9,-0.0962,-0.0976,0.3973
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,94760,94630,130,12.5,24.1,-0.1712,-0.1722,5.5
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,13130,13090,40,26.1,50.5,-0.2798,-0.282,-
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,108820,108010,810,51.4,68.1,0.0214,0.02,0.2462
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,9850,9800,50,31.1,42.2,-0.1588,-0.161,0.6667
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,10,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,6690,6690,0,6.9,16.7,-0.0785,-0.0734,-1
2021,11,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,808,267320,266690,630,24.5,49,-0.1516,-0.1512,-0.2921
2021,11,18,福井県,1,従業者規模別で表示する,101,0～9人,691,35060,-,-,7,14.2,-0.4304,-,-
2021,11,18,福井県,1,従業者規模別で表示する,102,10～29人,65,71980,-,-,38.9,64,0.0242,-,-
2021,11,18,福井県,1,従業者規模別で表示する,103,30～99人,47,124620,-,-,39.8,73.7,-0.0791,-,-
2021,11,18,福井県,1,従業者規模別で表示する,104,100人以上,5,35670,-,-,39,59.9,-0.2559,-,-
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,808,267320,266690,630,24.5,49,-0.1516,-0.1512,-0.2921
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,115630,115510,120,16.7,31,-0.28,-0.2802,0
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,14920,14880,40,30.5,60.6,-0.2743,-0.2763,-
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,70,112350,111890,460,54.9,75.1,0.0002,0.0021,-0.3134
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,15290,15280,10,40.6,55.9,0.2471,0.2494,-0.6667
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,11,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,9120,9120,0,8.6,17.3,-0.0236,-0.0162,-1
2021,12,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,807,258310,257560,750,22.7,43.6,0.0864,0.0866,0.0135
2021,12,18,福井県,1,従業者規模別で表示する,101,0～9人,690,34150,-,-,6.4,11.2,-0.1518,-,-
2021,12,18,福井県,1,従業者規模別で表示する,102,10～29人,65,67640,-,-,35.4,57.9,0.2165,-,-
2021,12,18,福井県,1,従業者規模別で表示する,103,30～99人,47,118950,-,-,36.8,65.5,0.1438,-,-
2021,12,18,福井県,1,従業者規模別で表示する,104,100人以上,5,37570,-,-,39.7,56.5,-0.0087,-,-
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,807,258310,257560,750,22.7,43.6,0.0864,0.0866,0.0135
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,114870,114780,90,15.8,24.7,0.0124,0.0116,-
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,9490,9490,0,22.3,44,-0.3173,-0.3173,-
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,111160,110570,590,54,71.7,0.1783,0.1797,-0.0328
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,14470,14400,70,36.8,49.3,0.8133,0.809,2.5
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2021,12,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,8320,8320,0,6.6,15.2,0.0297,0.0426,-1
